Majili,"Love this movie! The story was simple, but was portrayed beautifully. The performances were brilliant and it reminded me of old movies, filled with simplicity throughout. Though it was a long one, never felt bored, definitely a heart winner!",5
Majili,This will become chay career best acting and same Samantha terrific performance loved all technical stuff and cinematography and direction was emotional even Divyansha is perfect to her role overall a emotional and true life film,5
Majili,"Superb acting from naga chaitanya and samantha.
Awesome story.",5
Majili,"Awesome story...... A beautiful and different love emotional family story .......its a great story ,every one rocking in the movie,especially naga chaitanys acting improved compared in past ..finally its pure love story going to a big blockbuster movie",5
Majili,"Actually I saw the rating of movie first and then I watched it, hoping it's great, but in reality it's kind of different, the first half was not great it was closed without any proper ending, the chemistry between both the nag and first heroine was completely different from what he gives after love failure, mainly there was no intense feeling and the ending of the movie was even not great I feel it couldn't drag me or any in the theatre to connect to it the way they presented.I probably don't Suggest a second visit",3
Majili,Majili movie is really emotional movie with a dialogues chaitu and divyanksha lived in the acting and shiva nirvaran dialogues and screen play makes the film good,5
Majili,"Majili is probably one of the good performances of Nag Chaitanya,not the best. Samantha did a phenomenal job and protrayed sravani role in a good way. The first half entirely focused on Love story between Chat and Divyansha(She looks beautiful) ,but there is nothing new in that story. We already seen that and been there ,but I didn't felt bored ,thanks to the new face (Divyansha) and songs composed by Gopi Sundar were one of the assets for this movie. Second half , here Chay-Sam factor worked big time and Background score by Thaman was beautiful. Director Shiva nirvana did a good job and his dialogues were good. Suhas as chay friend was good .
Though there are some few flaws in story , majili is a decent watch.",4
Majili,Chaitu acting is wonderful and divyanksha and samantha looks beautiful so movie became a wonderful hit,5
Majili,Chaitu did hia job excellent no other hero did this so it looks like fantastic movie he gave to fans a memorable hit,5
Majili,"An alcoholic and a failed cricketer, Poorna is a nuisance in his neighbourhood, burden for his father and a wound that needs to be nursed for his wife. His wound runs deep as its not physical, but an emotional trauma caused by a love story which changes him forever.
Love, heartbreak and cricket is the premise around which Shiva Nirvana builds his latest love story Majili. He builds his characters slowly around this, but for the large part of the film, there's a lot of heartbreak and less love, while cricket is simply shown as an aside - most of it is exaggerated and flawed. Strangely enough, for a love story like Majili, there are a lot of action sequences. It seems people in Vizag, where the film is based, are willing to beat each other up at the drop of a hat. And there's seldom any closure to all the violence. It all seemed part of a mythical 'magic formula' that the director was trying to find. And yet, despite all of this, Majili keeps you interested and entertained for most part of it.",4
Majili,"One of the best in recent times .
Love in it's best form",5
Majili,I don't understand how this film has such high rating.Very pathetic extremely disappointed.V bad story line!!! Please don't waste your time watching this film!!,1
Majili,I felt bored and predictable from Dehradun episode to climax.... Samantha expressions are irritating I think the love story shown in this film is painful and happens in real life too but the married life of the hero is dramatic and missing logic in few scenes but the climax is impressive and melting,3
Shazam!,"They must have superhero fatigue. Why? This movie is at the very least comparable to every other. Here's what this movie has:First, a lot of really genuinely good comedy. You aren't going to laugh at dirty jokes, you aren't going to laugh at corny jokes, you're going to laugh at genuinely well written and performed comedy. In fact, probably soon to be one of the most iconic comedic moments in superhero movies to date with Shazam and his foe.Second, this movie has more than one cameo. The entire team did a great job of keeping a secret cameo (and it's not the one that people might think of at the very end).Third, this has such a great portrayal of Foster families. Very often movies have these really negative, terrible portrayals of Foster kids and the families they go into. The family that Billy gets into genuinely care about each other. It's easy to see why Billy would want to accept them. Especially after you find out some information which I will not reveal here.One common criticism is that this movie forces drama between the comedic parts and that it doesn't work well. This is only somewhat true. The drama is believable, but it's a little forced, but let me play devil's advocate. We have gotten very used to incredibly great dramas, but not every movie can have this. It's a superhero movie. In all honesty, the drama in most superhero movies always comes second. It is never really THAT captivating. This shouldn't be held up to the standard of great dramas films. Really, no superhero movie should. With that being said, I find the motivation for the villain to be persuasive. Imagine that you are a child that is being bullied. Typically if you cannot rely on your family and friends to help, you're going to probably grow up with anger in your heart. In this case, he has no friends and his family ARE the bullies. Someone criticized this, but they're completely wrong. That's a strong motivation to be someone who wants to take his anger out on others (especially family).Another thing I love about this movie is that Billy is never really just motivated to start doing good. He shows that he is willing to do good. He protects Freddy from being beat up, but only when it's gone too far. He's chosen by the Wizard not because he is some perfect, good-hearted child, but because he has the potential to be exactly that. The fact that he's willing to protect Freddy from bullies and that he gets his powers, then doesn't immediately start to save everyone shows the writers knew exactly what they were doing. This isn't some shortcut to being a good person. It doesn't show that he does all of the very funny things he does just to.make the audience last. He's learning. He's still not perfect. It's only when he has to save people from a problem that he created that he even remotely starts to start trying to understand the responsibility he carries. It's not until he begins to accept his foster family as his real family does he really understand the importance of helping others. You have to remember that he's always been a loner. He's never really experienced love since.. well, you'll see, but NEVER. In fact, I don't even think he's fully understood by the end of the movie. He's still learning. And why wouldn't he be? He's only 14.
This movie is absolutely great. It's much more than okay. It's honestly better than most comic book movies I've seen in awhile, but for different reasons than the other traditional superhero movies (like I said, this movie has those traditional elements, but also much more). The only way that it is ""just okay"" is if you have some serious superhero fatigue.",5
